,Number of Bachelor's Degrees,Percent Financial Aid,Average Amount of Aid,Retention Rate,Enrollment,Percent Women,Percent In State,Percent Out of State,Percent Foreign,Percent Unknown,Graduation Rate,Percent Awarded,Total Staff,Instructional Staff,SA Staff,Librarian Staff,Percent Books,Percent Digital,Percent Admitted,Total Price
173,905.0,84.0,8626.0,81.0,4134,58.0,85.0,14.0,1.0,0.0,63.0,54.0,803.0,269.0,15.0,32.0,71,2,65.0,36762.0
174,521.0,98.0,35078.0,80.0,2393,57.0,62.0,36.0,2.0,0.0,71.0,70.0,514.0,183.0,5.0,14.0,12,55,72.0,62480.0
175,395.0,63.0,51408.0,97.0,1559,51.0,9.0,78.0,13.0,0.0,94.0,88.0,908.0,233.0,70.0,101.0,36,47,9.0,71167.0
176,26.0,99.0,11863.0,73.0,336,97.0,49.0,48.0,3.0,0.0,46.0,54.0,198.0,49.0,4.0,5.0,85,0,76.0,38100.0
177,101.0,61.0,8481.0,70.0,1208,49.0,22.0,77.0,0.0,1.0,24.0,10.0,167.0,53.0,0.0,3.0,11,88,64.0,23745.0
178,180.0,100.0,22306.0,79.0,946,52.0,53.0,27.0,0.0,20.0,70.0,46.0,256.0,97.0,5.0,7.0,23,10,49.0,43349.0
179,450.0,99.0,35748.0,87.0,2004,54.0,29.0,52.0,17.0,2.0,75.0,69.0,669.0,199.0,46.0,62.0,23,21,54.0,64000.0
180,113.0,99.0,23164.0,79.0,554,66.0,9.0,86.0,6.0,0.0,51.0,47.0,99.0,35.0,0.0,1.0,7,92,54.0,58425.0
181,389.0,98.0,25979.0,89.0,1698,51.0,22.0,74.0,4.0,0.0,84.0,79.0,733.0,186.0,29.0,34.0,37,40,65.0,60950.0
182,258.0,98.0,10444.0,72.0,2065,62.0,85.0,13.0,1.0,0.0,48.0,22.0,354.0,138.0,0.0,5.0,37,58,77.0,42323.0
183,83.0,80.0,14665.0,91.0,407,51.0,36.0,58.0,7.0,0.0,86.0,75.0,90.0,38.0,0.0,1.0,81,0,78.0,36738.0
184,25.0,96.0,16111.0,77.0,90,58.0,26.0,74.0,0.0,0.0,30.0,75.0,20.0,8.0,0.0,0.0,51,0,50.0,33500.0
185,113.0,100.0,9653.0,74.0,726,68.0,70.0,28.0,2.0,0.0,35.0,24.0,276.0,67.0,0.0,1.0,31,10,91.0,22840.0
186,230.0,100.0,26418.0,82.0,987,59.0,80.0,19.0,1.0,0.0,75.0,70.0,283.0,91.0,14.0,22.0,24,39,89.0,52310.0
187,506.0,56.0,46132.0,91.0,2182,50.0,15.0,69.0,15.0,0.0,84.0,80.0,687.0,247.0,67.0,86.0,17,23,34.0,74160.0
188,514.0,85.0,31272.0,95.0,2197,46.0,29.0,60.0,0.0,11.0,88.0,81.0,800.0,219.0,6.0,20.0,18,25,39.0,70860.0
194,73.0,99.0,7687.0,55.0,675,71.0,85.0,14.0,1.0,0.0,29.0,18.0,81.0,39.0,1.0,2.0,17,59,64.0,27195.0
195,325.0,98.0,12038.0,78.0,1552,57.0,77.0,20.0,3.0,0.0,66.0,50.0,364.0,134.0,4.0,11.0,21,67,63.0,26284.0
196,194.0,89.0,8502.0,84.0,727,53.0,96.0,4.0,0.0,0.0,41.0,41.0,115.0,63.0,4.0,7.0,43,48,93.0,45506.0
197,802.0,94.0,7144.0,73.0,3743,57.0,84.0,15.0,1.0,0.0,63.0,38.0,721.0,253.0,38.0,44.0,24,66,94.0,36912.0
198,182.0,100.0,17047.0,60.0,1499,53.0,78.0,21.0,1.0,0.0,29.0,15.0,324.0,108.0,19.0,31.0,13,49,64.0,37750.0
199,240.0,96.0,8880.0,67.0,1508,54.0,92.0,7.0,1.0,0.0,35.0,25.0,181.0,80.0,0.0,0.0,55,30,73.0,40522.0
202,552.0,100.0,26508.0,81.0,2364,60.0,26.0,73.0,1.0,0.0,76.0,70.0,681.0,260.0,34.0,51.0,37,41,88.0,65616.0
203,825.0,64.0,41609.0,93.0,3295,53.0,16.0,74.0,9.0,0.0,87.0,84.0,1696.0,478.0,113.0,156.0,33,42,30.0,67020.0
204,152.0,96.0,12032.0,62.0,852,68.0,100.0,0.0,0.0,0.0,46.0,26.0,151.0,49.0,12.0,14.0,24,1,53.0,28710.0
205,351.0,93.0,7020.0,63.0,2116,69.0,83.0,15.0,1.0,0.0,32.0,10.0,267.0,114.0,3.0,9.0,17,82,63.0,36188.0
206,26.0,83.0,9373.0,18.0,140,56.0,89.0,6.0,6.0,0.0,48.0,17.0,55.0,15.0,10.0,11.0,57,2,64.0,25914.0
207,718.0,81.0,5353.0,71.0,4060,53.0,85.0,14.0,1.0,0.0,38.0,5.0,474.0,189.0,6.0,18.0,37,42,67.0,27586.0
208,417.0,76.0,4261.0,70.0,2296,62.0,44.0,42.0,14.0,0.0,36.0,23.0,364.0,133.0,7.0,14.0,7,79,78.0,27284.0
209,320.0,99.0,37320.0,89.0,1435,51.0,59.0,39.0,2.0,0.0,79.0,73.0,393.0,135.0,16.0,22.0,32,59,71.0,68122.0
210,627.0,61.0,47917.0,96.0,2456,59.0,22.0,65.0,0.0,13.0,92.0,87.0,1040.0,301.0,30.0,70.0,46,38,25.0,72760.0
211,351.0,92.0,16807.0,89.0,1685,13.0,57.0,42.0,1.0,0.0,78.0,64.0,607.0,161.0,8.0,19.0,32,51,51.0,58338.0
212,252.0,96.0,9978.0,68.0,1193,55.0,61.0,38.0,0.0,1.0,33.0,16.0,307.0,105.0,37.0,48.0,48,32,44.0,31358.0
213,16.0,98.0,3519.0,89.0,233,33.0,49.0,50.0,0.0,1.0,13.0,19.0,54.0,15.0,14.0,15.0,99,0,64.0,25329.0
214,259.0,100.0,24820.0,62.0,1351,59.0,75.0,25.0,0.0,0.0,52.0,37.0,269.0,105.0,40.0,46.0,27,51,70.0,50517.0
215,198.0,100.0,35965.0,86.0,882,0.0,73.0,22.0,4.0,0.0,71.0,64.0,273.0,92.0,0.0,4.0,30,58,65.0,57250.0
216,101.0,97.0,26150.0,65.0,657,65.0,42.0,55.0,2.0,1.0,52.0,46.0,205.0,67.0,27.0,32.0,19,60,86.0,51100.0
217,269.0,98.0,31180.0,79.0,1498,53.0,65.0,29.0,6.0,0.0,67.0,64.0,363.0,115.0,0.0,4.0,30,37,76.0,53675.0
218,310.0,100.0,35421.0,81.0,1356,49.0,72.0,27.0,1.0,0.0,73.0,71.0,360.0,127.0,11.0,19.0,40,3,82.0,61814.0
219,434.0,66.0,47199.0,96.0,1829,50.0,16.0,79.0,4.0,0.0,95.0,88.0,915.0,263.0,0.0,23.0,40,44,21.0,70500.0
220,317.0,100.0,33014.0,84.0,1367,59.0,41.0,58.0,1.0,0.0,68.0,70.0,489.0,131.0,38.0,45.0,41,43,64.0,64542.0
221,577.0,66.0,52403.0,96.0,2534,98.0,12.0,72.0,15.0,1.0,92.0,82.0,1106.0,350.0,21.0,52.0,29,43,20.0,72250.0
222,109.0,100.0,34448.0,70.0,471,64.0,71.0,27.0,2.0,0.0,60.0,50.0,173.0,50.0,12.0,15.0,26,72,79.0,56650.0
223,173.0,100.0,21425.0,78.0,725,92.0,85.0,12.0,3.0,0.0,52.0,49.0,169.0,66.0,18.0,23.0,19,65,48.0,34860.0
224,763.0,47.0,50786.0,96.0,3009,55.0,6.0,80.0,14.0,0.0,89.0,87.0,966.0,387.0,38.0,78.0,47,40,17.0,72669.0
225,164.0,100.0,19254.0,76.0,717,44.0,82.0,16.0,3.0,0.0,58.0,54.0,172.0,59.0,27.0,32.0,13,69,66.0,42630.0
226,253.0,100.0,28351.0,77.0,1198,53.0,72.0,28.0,0.0,0.0,73.0,62.0,306.0,106.0,3.0,10.0,52,1,94.0,50186.0
227,290.0,99.0,29923.0,82.0,1277,61.0,70.0,29.0,1.0,0.0,75.0,74.0,327.0,124.0,31.0,39.0,9,12,62.0,62600.0
228,621.0,88.0,20409.0,92.0,2401,55.0,21.0,70.0,9.0,0.0,87.0,82.0,832.0,261.0,21.0,44.0,57,26,83.0,49300.0
229,309.0,99.0,38167.0,87.0,1760,61.0,34.0,58.0,0.0,8.0,78.0,76.0,509.0,156.0,15.0,24.0,51,29,70.0,68050.0
230,337.0,88.0,26260.0,90.0,1475,57.0,27.0,66.0,7.0,0.0,87.0,82.0,503.0,198.0,16.0,34.0,48,37,50.0,68082.0
231,356.0,98.0,32748.0,76.0,1732,58.0,78.0,19.0,2.0,1.0,66.0,58.0,402.0,150.0,74.0,78.0,28,27,76.0,63828.0
232,441.0,100.0,28273.0,83.0,1808,58.0,26.0,73.0,0.0,1.0,74.0,70.0,591.0,213.0,8.0,26.0,55,33,84.0,65109.0
233,71.0,100.0,9682.0,52.0,479,43.0,67.0,28.0,6.0,0.0,38.0,30.0,117.0,33.0,8.0,11.0,39,61,56.0,29630.0
234,511.0,63.0,55897.0,99.0,2095,48.0,12.0,78.0,9.0,0.0,95.0,86.0,1133.0,342.0,44.0,83.0,28,56,13.0,73200.0
235,363.0,100.0,29504.0,70.0,1757,55.0,79.0,21.0,1.0,0.0,62.0,61.0,373.0,142.0,13.0,17.0,49,22,74.0,53056.0
236,379.0,98.0,31824.0,88.0,1666,53.0,55.0,42.0,3.0,0.0,81.0,77.0,440.0,152.0,23.0,34.0,14,60,64.0,60363.0
237,194.0,99.0,24513.0,76.0,1425,55.0,80.0,12.0,8.0,0.0,41.0,32.0,208.0,87.0,20.0,23.0,5,37,63.0,43389.0
