,Number of Bachelor's Degrees,Percent Financial Aid,Average Amount of Aid,Retention Rate,Enrollment,Percent Women,Percent In State,Percent Out of State,Percent Foreign,Percent Unknown,Graduation Rate,Percent Awarded,Total Staff,Instructional Staff,SA Staff,Librarian Staff,Percent Books,Percent Digital,Percent Admitted,Total Price
39,277.0,100.0,35805.0,75.0,1422,56.0,40.0,57.0,2.0,0.0,66.0,61.0,343.0,141.0,2.0,9.0,38,59,67.0,57200.0
40,462.0,44.0,51610.0,94.0,2000,52.0,8.0,81.0,11.0,0.0,90.0,84.0,732.0,220.0,41.0,74.0,21,27,13.0,71202.0
41,742.0,51.0,48772.0,94.0,2958,55.0,25.0,67.0,8.0,0.0,89.0,85.0,1021.0,347.0,32.0,55.0,54,32,25.0,72275.0
42,403.0,100.0,30791.0,89.0,1782,100.0,77.0,18.0,4.0,2.0,80.0,84.0,448.0,156.0,20.0,28.0,28,55,83.0,58668.0
43,83.0,100.0,36310.0,81.0,332,76.0,14.0,53.0,33.0,0.0,67.0,44.0,91.0,27.0,2.0,6.0,67,26,67.0,54918.0
44,698.0,75.0,34476.0,95.0,2939,51.0,37.0,60.0,3.0,0.0,92.0,87.0,1084.0,301.0,42.0,59.0,47,34,38.0,69190.0
45,559.0,53.0,39286.0,95.0,2114,55.0,13.0,77.0,9.0,0.0,89.0,80.0,862.0,225.0,89.0,112.0,45,37,15.0,71642.0
46,441.0,100.0,27611.0,85.0,2097,58.0,69.0,27.0,4.0,0.0,75.0,69.0,599.0,178.0,21.0,30.0,33,32,61.0,51798.0
47,403.0,94.0,31263.0,91.0,1844,61.0,16.0,76.0,8.0,0.0,81.0,80.0,701.0,230.0,18.0,31.0,32,56,38.0,71970.0
48,196.0,100.0,29720.0,82.0,1028,48.0,20.0,74.0,6.0,0.0,76.0,66.0,267.0,83.0,20.0,28.0,12,36,61.0,58381.0
49,215.0,100.0,22677.0,86.0,1002,52.0,26.0,70.0,4.0,0.0,71.0,58.0,211.0,73.0,10.0,14.0,94,0,97.0,47430.0
50,477.0,72.0,40880.0,95.0,1843,48.0,18.0,73.0,7.0,2.0,90.0,89.0,817.0,215.0,22.0,41.0,24,60,19.0,68594.0
51,529.0,97.0,30320.0,89.0,2394,54.0,18.0,65.0,16.0,1.0,85.0,78.0,726.0,266.0,9.0,29.0,22,64,34.0,66870.0
52,505.0,99.0,35367.0,91.0,2156,53.0,36.0,50.0,14.0,0.0,85.0,78.0,674.0,228.0,0.0,25.0,41,30,63.0,64924.0
53,597.0,84.0,38039.0,92.0,2399,58.0,21.0,66.0,14.0,0.0,84.0,82.0,887.0,255.0,48.0,62.0,30,47,49.0,71339.0
54,247.0,100.0,14388.0,69.0,1309,76.0,53.0,47.0,0.0,0.0,42.0,42.0,286.0,83.0,24.0,26.0,99,0,61.0,33684.0
55,435.0,100.0,22350.0,71.0,1008,45.0,64.0,35.0,1.0,0.0,65.0,58.0,297.0,102.0,5.0,7.0,14,61,68.0,48570.0
56,345.0,99.0,28355.0,84.0,1668,58.0,56.0,36.0,7.0,1.0,62.0,57.0,491.0,184.0,38.0,50.0,55,26,69.0,57230.0
57,194.0,100.0,36768.0,82.0,1050,54.0,19.0,60.0,21.0,0.0,64.0,64.0,342.0,126.0,43.0,54.0,11,68,65.0,59850.0
60,416.0,99.0,25477.0,82.0,2006,66.0,15.0,82.0,3.0,0.0,68.0,61.0,394.0,163.0,1.0,12.0,27,29,68.0,61576.0
61,497.0,100.0,31886.0,89.0,1633,61.0,69.0,30.0,2.0,0.0,73.0,69.0,467.0,141.0,19.0,25.0,79,2,76.0,60460.0
62,466.0,100.0,26833.0,78.0,2089,75.0,58.0,41.0,1.0,0.0,66.0,60.0,337.0,129.0,0.0,5.0,23,71,77.0,58153.0
63,197.0,100.0,29038.0,74.0,979,53.0,56.0,43.0,0.0,0.0,60.0,40.0,310.0,130.0,5.0,10.0,33,22,70.0,50800.0
64,89.0,94.0,12803.0,81.0,743,70.0,19.0,75.0,0.0,6.0,44.0,36.0,232.0,69.0,20.0,26.0,98,0,71.0,37070.0
65,644.0,93.0,13048.0,62.0,3272,52.0,43.0,56.0,1.0,0.0,44.0,24.0,508.0,185.0,3.0,13.0,19,30,91.0,36084.0
66,542.0,61.0,45933.0,92.0,2309,55.0,23.0,57.0,20.0,0.0,83.0,84.0,853.0,285.0,55.0,79.0,36,36,35.0,73070.0
67,205.0,100.0,22253.0,76.0,960,51.0,91.0,9.0,0.0,0.0,61.0,60.0,270.0,87.0,13.0,18.0,17,44,75.0,46156.0
68,600.0,94.0,29884.0,88.0,2768,59.0,26.0,71.0,3.0,1.0,80.0,78.0,933.0,293.0,42.0,55.0,18,41,61.0,65024.0
69,191.0,100.0,34013.0,63.0,961,55.0,74.0,24.0,1.0,0.0,58.0,50.0,290.0,104.0,12.0,18.0,14,28,48.0,51930.0
70,611.0,90.0,34270.0,90.0,2441,52.0,26.0,70.0,3.0,0.0,82.0,84.0,823.0,257.0,30.0,57.0,17,12,45.0,68990.0
71,388.0,100.0,21407.0,83.0,1618,63.0,29.0,64.0,5.0,2.0,70.0,61.0,498.0,136.0,72.0,78.0,33,49,75.0,50670.0
72,284.0,100.0,31802.0,77.0,1525,68.0,42.0,55.0,2.0,1.0,71.0,53.0,447.0,143.0,22.0,31.0,29,48,80.0,62506.0
73,403.0,89.0,38498.0,92.0,1716,54.0,8.0,73.0,17.0,2.0,84.0,81.0,740.0,214.0,38.0,64.0,39,47,24.0,68302.0
74,506.0,77.0,7055.0,88.0,2338,48.0,49.0,50.0,1.0,0.0,82.0,77.0,367.0,130.0,16.0,24.5,33,57,79.0,29550.0
75,286.0,100.0,28060.0,68.0,1567,51.0,71.0,28.0,1.0,0.0,59.0,47.0,310.0,121.0,42.0,49.0,17,45,64.0,52770.0
76,524.0,99.0,35617.0,87.0,2241,58.0,78.0,19.0,3.0,0.0,78.0,80.0,587.0,203.0,6.0,15.0,54,6,66.0,57370.0
77,493.0,64.0,40873.0,94.0,2005,53.0,22.0,70.0,8.0,0.0,93.0,88.0,706.0,214.0,31.0,44.0,18,39,21.0,69990.0
78,206.0,100.0,27365.0,81.0,1072,0.0,73.0,25.0,0.0,1.0,66.0,60.0,351.0,106.0,0.0,8.0,37,33,59.0,62304.0
79,288.0,99.0,31528.0,79.0,1191,62.0,13.0,80.0,6.0,0.0,66.0,51.0,367.0,123.0,51.0,60.0,24,38,63.0,67174.0
80,220.0,100.0,29314.0,75.0,1104,55.0,65.0,31.0,3.0,0.0,72.0,64.0,247.0,86.0,25.0,32.0,27,29,79.0,51950.0
81,232.0,100.0,35583.0,69.0,1176,59.0,72.0,25.0,2.0,0.0,58.0,53.0,302.0,119.0,25.0,31.0,79,2,83.0,59370.0
82,211.0,75.0,37542.0,97.0,902,48.0,42.0,48.0,10.0,0.0,92.0,85.0,323.0,116.0,25.0,26.0,29,62,14.0,76947.0
83,321.0,52.0,51065.0,97.0,1310,51.0,10.0,75.0,14.0,0.0,92.0,86.0,601.0,166.0,26.0,45.0,25,60,19.0,73902.0
84,310.0,100.0,42156.0,86.0,1202,52.0,64.0,35.0,1.0,1.0,71.0,91.0,476.0,123.0,19.0,22.0,55,9,72.0,63174.0
