UnitID,Institution Name,Carnegie Classification 2018: Basic (HD2019),Number of students receiving a Bachelor's degree (DRVC2019),Percent of full-time first-time undergraduates awarded any financial aid (SFA1819),Average amount of federal  state  local or institutional grant aid awarded (SFA1819),Total price for out-of-state students living on campus 2018-19 (DRVIC2018),Percent admitted - men (DRVADM2018_RV),Percent admitted - women (DRVADM2018_RV),Full-time retention rate  2018 (EF2018D),Undergraduate enrollment (DRVEF2018),Percent of undergraduate enrollment that are women (DRVEF2018),Percent of first-time undergraduates - in-state (DRVEF2018),Percent of first-time undergraduates - out-of-state (DRVEF2018),Percent of first-time undergraduates - foreign countries (DRVEF2018),Percent of first-time undergraduates - residence unknown (DRVEF2018),Graduation rate  total cohort (DRVGR2018_RV),Percent full-time first-time receiving an award - 4 years (DRVOM2018_RV),Total FTE staff (DRVHR2018),Instructional FTE (DRVHR2018),Student and Academic Affairs and Other Education Services FTE (DRVHR2018),Librarians  Curators  and Archivists/Student and Academic Affairs and Other Education Services FTE (DRVHR2018),Physical books as a percent of the total library collection (DRVAL2018),Digital/Electronic books as a percent of the total library collection (DRVAL2018),Databases as a percent of the total library collection (DRVAL2018),
233374,University of Richmond,21,825,64,41609,67020,32,28,93,3295,53,16,74,9,0,87,84,1696,478,113,156,33,42,0,
207722,University of Science and Arts of Oklahoma,21,152,96,12032,28710,52,53,62,852,68,100,0,0,0,46,26,151,49,12,14,24,1,0,
218654,University of South Carolina Beaufort,21,351,93,7020,36188,58,66,63,2116,69,83,15,1,0,32,10,267,114,3,9,17,82,0,
449870,University of the West,21,26,83,9373,25914,,,18,140,56,89,6,6,0,48,17,55,15,10,11,57,2,0,
240374,University of Wisconsin-Parkside,21,718,81,5353,27586,67,67,71,4060,53,85,14,1,0,38,5,474,189,6,18,37,42,0,
240426,University of Wisconsin-Superior,21,417,76,4261,27284,79,77,70,2296,62,44,42,14,0,36,23,364,133,7,14,7,79,0,
216524,Ursinus College,21,320,99,37320,68122,67,74,89,1435,51,59,39,2,0,79,73,393,135,16,22,32,59,0,
197133,Vassar College,21,627,61,47917,72760,33,21,96,2456,59,22,65,0,13,92,87,1040,301,30,70,46,38,0,
234085,Virginia Military Institute,21,351,92,16807,58338,51,54,89,1685,13,57,42,1,0,78,64,607,161,8,19,32,51,0,
234164,Virginia Union University,21,252,96,9978,31358,41,45,68,1193,55,61,38,0,1,33,16,307,105,37,48,48,32,0,
234137,Virginia University of Lynchburg,21,16,98,3519,25329,,,89,233,33,49,50,0,1,13,19,54,15,14,15,99,0,0,
234173,Virginia Wesleyan University,21,259,100,24820,50517,72,69,62,1351,59,75,25,0,0,52,37,269,105,40,46,27,51,0,
152673,Wabash College,21,198,100,35965,57250,65,0,86,882,0,73,22,4,0,71,64,273,92,0,4,30,58,0,
199865,Warren Wilson College,21,101,97,26150,51100,80,89,65,657,65,42,55,2,1,52,46,205,67,27,32,19,60,0,
154527,Wartburg College,21,269,98,31180,53675,71,79,79,1498,53,65,29,6,0,67,64,363,115,0,4,30,37,0,
216667,Washington & Jefferson College,21,310,100,35421,61814,79,85,81,1356,49,72,27,1,0,73,71,360,127,11,19,40,3,0,
234207,Washington and Lee University,21,434,66,47199,70500,20,22,96,1829,50,16,79,4,0,95,88,915,263,0,23,40,44,0,
164216,Washington College,21,317,100,33014,64542,62,65,84,1367,59,41,58,1,0,68,70,489,131,38,45,41,43,0,
168218,Wellesley College,21,577,66,52403,72250,,20,96,2534,98,12,72,15,1,92,82,1106,350,21,52,29,43,0,
197230,Wells College,21,109,100,34448,56650,73,81,70,471,64,71,27,2,0,60,50,173,50,12,15,26,72,0,
141325,Wesleyan College,21,173,100,21425,34860,,48,78,725,92,85,12,3,0,52,49,169,66,18,23,19,65,0,
130697,Wesleyan University,21,763,47,50786,72669,21,15,96,3009,55,6,80,14,0,89,87,966,387,38,78,47,40,0,
179946,Westminster College,21,164,100,19254,42630,93,96,76,717,44,82,16,3,0,58,54,172,59,27,32,13,69,0,
216807,Westminster College,21,253,100,28351,50186,65,68,77,1198,53,72,28,0,0,73,62,306,106,3,10,52,1,0,
125727,Westmont College,21,290,99,29923,62600,67,60,82,1277,61,70,29,1,0,75,74,327,124,31,39,9,12,0,
149781,Wheaton College,21,621,88,20409,49300,83,82,92,2401,55,21,70,9,0,87,82,832,261,21,44,57,26,0,
168281,Wheaton College,21,309,99,38167,68050,62,75,87,1760,61,34,58,0,8,78,76,509,156,15,24,51,29,0,
237057,Whitman College,21,337,88,26260,68082,48,52,90,1475,57,27,66,7,0,87,82,503,198,16,34,48,37,0,
125763,Whittier College,21,356,98,32748,63828,75,77,76,1732,58,78,19,2,1,66,58,402,150,74,78,28,27,0,
210401,Willamette University,21,441,100,28273,65109,77,89,83,1808,58,26,73,0,1,74,70,591,213,8,26,55,33,0,
107877,Williams Baptist University,21,71,100,9682,29630,55,57,52,479,43,67,28,6,0,38,30,117,33,8,11,39,61,0,
168342,Williams College,21,511,63,55897,73200,13,13,99,2095,48,12,78,9,0,95,86,1133,342,44,83,28,56,0,
206525,Wittenberg University,21,363,100,29504,53056,70,76,70,1757,55,79,21,1,0,62,61,373,142,13,17,49,22,0,
218973,Wofford College,21,379,98,31824,60363,60,66,88,1666,53,55,42,3,0,81,77,440,152,23,34,14,60,0,
141361,Young Harris College,21,194,99,24513,43389,67,62,76,1425,55,80,12,8,0,41,32,208,87,20,23,5,37,0,
